m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2015,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1239.01,Okra,2015,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2015,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2015,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2015,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2015,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1252,Green garlic,2015,19,19,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1270,Mushrooms and truffles,2015,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.01,Green corn (maize),2015,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2015,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1311,Avocados,2015,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1316,"Mangoes, guavas and mangosteens",2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1317,Papayas,2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1318,Pineapples,2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2015,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2015,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2015,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1324,"Tangerines, mandarins, clementines",2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1330,Grapes,2015,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1341,Apples,2015,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1342.01,Pears,2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1343,Apricots,2015,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1345,Peaches and nectarines,2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1346,Plums and sloes,2015,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1352,Kiwi fruit,2015,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1353.01,Raspberries,2015,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1354,Strawberries,2015,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.01,Blueberries,2015,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.02,Cranberries,2015,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1510,Potatoes,2015,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1530,Sweet potatoes,2015,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,231,"Hen eggs in shell, fresh",2015,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21431.01,Orange juice,2015,43.7021,43.7021,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21432,Grapefruit juice,2015,46.7764,46.7764,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21434,Grape juice,2015,19.0909,19.0909,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21435.01,Apple juice,2015,26.6667,26.6667,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2014,63,63%,,Retailing,Retail,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,1290.01,Green corn (maize),2014,2,2%,,Retailing,Retail,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,1312,Bananas,2014,4,4%,,Retailing,Retail,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,1317,Papayas,2014,43,43%,,Retailing,Retail,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,1359.9,"Other fruits, n.e.c.",2014,9,9%,,,Whole supply chain,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,1359.9,"Other fruits, n.e.c.",2014,12.3,12.30%,,Retailing,Retail,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,231,"Hen eggs in shell, fresh",2014,7,7%,,,Whole supply chain,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,21115,"Meat of sheep, fresh or chilled",2014,13,13%,,Processing,Processing,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,21181,"Pig meat, cuts, salted, dried or smoked (bacon and ham)",2014,10,10%,,Processing,Processing,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically,,,,,
840,United States of America,,1211,Asparagus,2014,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2014,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2014,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2014,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2014,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2014,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2014,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2014,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1215,Spinach,2014,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1216,Artichokes,2014,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1221,Watermelons,2014,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1229,Cantaloupes and other melons,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1229,Cantaloupes and other melons,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1231,"Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)",2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1232,Cucumbers and gherkins,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1233,Eggplants (aubergines),2014,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1234,Tomatoes,2014,15,15,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2014,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2014,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1239.01,Okra,2014,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2014,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2014,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2014,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1252,Green garlic,2014,19,19,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1270,Mushrooms and truffles,2014,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.01,Green corn (maize),2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2014,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1311,Avocados,2014,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1316,"Mangoes, guavas and mangosteens",2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1317,Papayas,2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1318,Pineapples,2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2014,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2014,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2014,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1324,"Tangerines, mandarins, clementines",2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1330,Grapes,2014,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1341,Apples,2014,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1342.01,Pears,2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1343,Apricots,2014,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1345,Peaches and nectarines,2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1346,Plums and sloes,2014,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1352,Kiwi fruit,2014,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1353.01,Raspberries,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1354,Strawberries,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.01,Blueberries,2014,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.02,Cranberries,2014,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1510,Potatoes,2014,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1530,Sweet potatoes,2014,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,231,"Hen eggs in shell, fresh",2014,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21431.01,Orange juice,2014,41.2515,41.2515,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21432,Grapefruit juice,2014,44.406,44.406,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21434,Grape juice,2014,19.0909,19.0909,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,21435.01,Apple juice,2014,26.6667,26.6667,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1211,Asparagus,2013,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2013,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2013,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2013,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1212,Cabbages,2013,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1213,Cauliflowers and broccoli,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2013,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2013,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1214,Lettuce and chicory,2013,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1215,Spinach,2013,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1216,Artichokes,2013,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1221,Watermelons,2013,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1229,Cantaloupes and other melons,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1229,Cantaloupes and other melons,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1231,"Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)",2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1232,Cucumbers and gherkins,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1233,Eggplants (aubergines),2013,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1234,Tomatoes,2013,15,15,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2013,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1235,"Pumpkins, squash and gourds",2013,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1239.01,Okra,2013,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1241.9,"Other beans, green",2013,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2013,12,12,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1251,Carrots and turnips,2013,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1252,Green garlic,2013,19,19,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1270,Mushrooms and truffles,2013,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.01,Green corn (maize),2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1290.9,"Other vegetables, fresh n.e.c.",2013,7,7,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1311,Avocados,2013,6,6,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1316,"Mangoes, guavas and mangosteens",2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1317,Papayas,2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1318,Pineapples,2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2013,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1321,Pomelos and grapefruits,2013,3,3,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1322,Lemons and limes,2013,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1324,"Tangerines, mandarins, clementines",2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1330,Grapes,2013,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1341,Apples,2013,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1342.01,Pears,2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1343,Apricots,2013,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1345,Peaches and nectarines,2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1346,Plums and sloes,2013,5,5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1352,Kiwi fruit,2013,9,9,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1353.01,Raspberries,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1354,Strawberries,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.01,Blueberries,2013,8,8,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1355.02,Cranberries,2013,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1510,Potatoes,2013,4,4,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,1530,Sweet potatoes,2013,10,10,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
840,United States of America,,231,"Hen eggs in shell, fresh",2013,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,,,,,,
